unixTime,temp,sal,pH
1651291190.0,75.6,35.0,8.35
1651291220.0,76.1,35.0,8.3
1651291250.0,76.7,35.0,8.16
1651291280.0,76.5,35.0,8.24
1651291310.0,75.6,36.0,8.19
1651291340.0,76.3,36.0,8.24
1651291370.0,75.2,35.0,8.14
1651291400.0,76.4,35.0,8.28
1651291430.0,76.1,35.0,8.28
1651291460.0,75.8,35.0,8.26
1651291490.0,76.7,35.0,8.27
1651291520.0,75.9,35.0,8.25
1651291550.0,76.9,35.0,8.15
1651291580.0,77.2,35.0,8.24
1651291610.0,76.4,35.0,8.26
1651291640.0,75.9,35.0,8.29
1651291670.0,76.0,35.0,8.15
1651291700.0,76.3,35.0,8.3
1651291730.0,77.2,35.0,8.27
1651291760.0,77.0,35.0,8.23
1651291790.0,77.5,35.0,8.27
1651291820.0,76.1,35.0,8.26
1651291850.0,75.9,35.0,8.26
1651291880.0,75.7,35.0,8.18
1651291910.0,76.8,35.0,8.31
1651291940.0,76.7,35.0,8.26
1651291970.0,77.7,35.0,8.16
1651292000.0,77.1,35.0,8.32
1651292030.0,76.9,35.0,8.34
1651292060.0,76.7,35.0,8.36
1651292090.0,77.2,35.0,8.21
1651292120.0,77.2,35.0,8.17
1651292150.0,77.2,35.0,8.29
1651292180.0,75.2,35.0,8.27
1651292210.0,75.4,35.0,8.24
1651292240.0,76.1,35.0,8.34
1651292270.0,76.3,35.0,8.23
1651292300.0,75.7,35.0,8.22
1651292330.0,75.8,35.0,8.21
1651292360.0,77.3,35.0,8.22
1651292390.0,77.7,35.0,8.28
1651292420.0,77.2,35.0,8.22
1651292450.0,76.1,35.0,8.31
1651292480.0,75.6,35.0,8.26
1651292510.0,75.1,35.0,8.14
1651292540.0,76.5,35.0,8.28
1651292570.0,76.9,34.0,8.25
1651292600.0,75.6,35.0,8.21
1651292630.0,76.0,35.0,8.14
1651292660.0,77.7,35.0,8.24
1651292690.0,76.7,35.0,8.25
1651292720.0,76.1,35.0,8.18
1651292750.0,76.6,35.0,8.39
1651292780.0,76.1,35.0,8.27
1651292810.0,76.3,35.0,8.23
1651292840.0,76.3,35.0,8.32
1651292870.0,77.1,35.0,8.32
1651292900.0,77.1,35.0,8.27
1651292930.0,76.9,35.0,8.24
1651292960.0,75.7,35.0,8.28
1651292990.0,77.5,35.0,8.22
1651293020.0,77.2,35.0,8.18
1651293050.0,77.3,35.0,8.27
1651293080.0,75.5,35.0,8.17
1651293110.0,76.8,35.0,8.3
1651293140.0,75.5,35.0,8.29
1651293170.0,76.7,36.0,8.22
1651293200.0,76.4,35.0,8.35
1651293230.0,76.1,35.0,8.26
1651293260.0,76.1,35.0,8.27
1651293290.0,76.5,35.0,8.28
1651293320.0,77.5,35.0,8.23
1651293350.0,76.6,35.0,8.18
1651293380.0,75.9,35.0,8.27
1651293410.0,76.9,35.0,8.21
1651293440.0,76.7,35.0,8.27
1651293470.0,76.0,35.0,8.18
1651293500.0,76.0,35.0,8.26
1651293530.0,76.4,35.0,8.24
1651293560.0,76.0,35.0,8.27
1651293590.0,75.9,35.0,8.29
1651293620.0,77.2,35.0,8.23
1651293650.0,76.1,36.0,8.21
1651293680.0,75.1,36.0,8.19
1651293710.0,77.4,35.0,8.23
1651293740.0,75.7,35.0,8.19
1651293770.0,75.6,35.0,8.19
1651293800.0,76.3,35.0,8.25
1651293830.0,77.1,35.0,8.28
1651293860.0,74.6,34.0,8.18
1651293890.0,75.8,35.0,8.16
1651293920.0,77.2,35.0,8.18
1651293950.0,78.2,35.0,8.12
1651293980.0,75.8,35.0,8.23
1651294010.0,76.3,35.0,8.32
1651294040.0,76.0,35.0,8.25
1651294070.0,76.5,35.0,8.22
1651294100.0,75.0,35.0,8.31
1651294130.0,76.7,35.0,8.27
1651294160.0,76.4,35.0,8.26
1651294190.0,76.1,35.0,8.12
1651294220.0,77.3,35.0,8.21
1651294250.0,76.6,35.0,8.33
1651294280.0,76.3,35.0,8.23
1651294310.0,76.7,35.0,8.25
1651294340.0,76.1,35.0,8.28
1651294370.0,76.0,35.0,8.3
1651294400.0,77.2,35.0,8.33
1651294430.0,77.0,35.0,8.28
1651294460.0,77.9,36.0,8.36
1651294490.0,76.4,35.0,8.29
1651294520.0,77.5,35.0,8.33
1651294550.0,76.2,35.0,8.27
1651294580.0,77.4,35.0,8.29
1651294610.0,77.0,36.0,8.28
1651294640.0,77.4,36.0,8.2
1651294670.0,77.4,35.0,8.23
1651294700.0,77.2,35.0,8.27
1651294730.0,76.7,35.0,8.28
1651294760.0,77.0,35.0,8.36
