unixTime,temp,sal,pH
1651208400.0,76.5,34.0,8.33
1651208405.0,75.0,34.0,8.23
1651208410.0,79.8,34.0,8.24
1651208415.0,75.9,34.0,8.02
1651208420.0,74.6,35.0,8.04
1651208425.0,77.3,34.0,8.22
1651208430.0,77.6,34.0,8.48
1651208435.0,74.4,34.0,8.36
1651208440.0,79.4,35.0,8.37
1651208445.0,77.6,36.0,8.48
1651208450.0,79.9,35.0,8.03
1651208455.0,76.3,36.0,8.02
1651208460.0,74.8,34.0,8.11
1651208465.0,75.0,34.0,8.03
1651208470.0,78.4,35.0,8.21
1651208475.0,78.6,34.0,8.33
1651208480.0,76.7,35.0,8.31
1651208485.0,73.8,36.0,8.46
1651208490.0,79.2,34.0,8.39
1651208495.0,75.5,34.0,8.41
1651208500.0,79.8,34.0,8.49
1651208505.0,79.3,36.0,8.47
1651208510.0,75.8,34.0,8.38
1651208515.0,78.7,34.0,8.27
1651208520.0,73.6,35.0,8.25
1651208525.0,77.4,35.0,8.25
1651208530.0,73.6,36.0,8.09
1651208535.0,78.3,35.0,8.2
1651208540.0,75.0,36.0,8.1
1651208545.0,76.2,36.0,8.1
1651208550.0,73.4,34.0,8.21
1651208555.0,76.5,36.0,8.45
1651208560.0,73.8,34.0,8.32
1651208565.0,75.0,36.0,8.15
1651208570.0,74.2,34.0,8.33
1651208575.0,76.5,34.0,8.32
1651208580.0,74.8,34.0,8.25
1651208585.0,75.9,34.0,8.1
1651208590.0,73.8,34.0,8.22
1651208595.0,73.2,35.0,8.32
1651208600.0,75.1,34.0,8.1
1651208605.0,76.9,34.0,8.33
1651208610.0,75.7,34.0,8.26
1651208615.0,79.8,35.0,8.18
1651208620.0,76.2,34.0,8.28
1651208625.0,73.7,34.0,8.13
1651208630.0,78.9,36.0,8.02
1651208635.0,75.4,36.0,8.13
1651208640.0,73.6,34.0,8.4
1651208645.0,75.0,36.0,8.22
1651208650.0,74.9,36.0,8.33
1651208655.0,77.5,35.0,8.39
1651208660.0,78.3,36.0,8.09
1651208665.0,78.2,36.0,8.38
1651208670.0,75.4,36.0,8.4
1651208675.0,79.7,35.0,8.04
1651208680.0,73.4,34.0,8.45
1651208685.0,78.7,36.0,8.26
1651208690.0,77.0,35.0,8.34
1651208695.0,79.0,35.0,8.45
1651208700.0,73.1,36.0,8.04
1651208705.0,79.2,36.0,8.4
1651208710.0,75.2,36.0,8.04
1651208715.0,73.5,34.0,8.14
1651208720.0,80.0,35.0,8.23
1651208725.0,75.2,34.0,8.31
1651208730.0,78.2,34.0,8.3
1651208735.0,73.6,34.0,8.31
1651208740.0,77.2,36.0,8.17
1651208745.0,77.2,35.0,8.33
1651208750.0,79.4,36.0,8.04
1651208755.0,79.3,35.0,8.34
1651208760.0,73.1,36.0,8.29
1651208765.0,76.4,35.0,8.41
1651208770.0,79.6,36.0,8.15
1651208775.0,75.6,35.0,8.18
1651208780.0,78.8,35.0,8.33
1651208785.0,77.1,36.0,8.13
1651208790.0,77.4,34.0,8.06
1651208795.0,77.8,36.0,8.17
1651208800.0,78.2,34.0,8.13
1651208805.0,74.9,36.0,8.48
1651208810.0,74.1,36.0,8.02
1651208815.0,74.4,36.0,8.02
1651208820.0,77.9,36.0,8.34
1651208825.0,75.1,35.0,8.37
1651208830.0,78.1,35.0,8.18
1651208835.0,78.1,36.0,8.07
1651208840.0,73.8,34.0,8.04
1651208845.0,74.9,34.0,8.39
1651208850.0,75.8,35.0,8.35
1651208855.0,73.4,36.0,8.25
1651208860.0,78.5,34.0,8.17
1651208865.0,73.3,36.0,8.43
1651208870.0,75.2,35.0,8.19
1651208875.0,79.1,35.0,8.32
1651208880.0,73.0,35.0,8.28
1651208885.0,75.7,35.0,8.19
1651208890.0,78.3,36.0,8.29
1651208895.0,76.9,35.0,8.46
1651208900.0,75.7,36.0,8.36
1651208905.0,73.2,36.0,8.3
1651208910.0,77.4,34.0,8.16
1651208915.0,75.4,35.0,8.33
1651208920.0,79.4,34.0,8.1
1651208925.0,78.5,34.0,8.22
1651208930.0,75.1,35.0,8.12
1651208935.0,76.6,34.0,8.24
1651208940.0,75.2,35.0,8.5
1651208945.0,74.7,34.0,8.3
1651208950.0,77.9,35.0,8.46
1651208955.0,79.2,35.0,8.13
1651208960.0,74.7,34.0,8.28
1651208965.0,73.5,35.0,8.15
1651208970.0,78.9,34.0,8.09
1651208975.0,75.4,36.0,8.19
1651208980.0,73.6,35.0,8.1
1651208985.0,79.8,35.0,8.43
1651208990.0,78.6,36.0,8.49
1651208995.0,75.7,34.0,8.31
1651209000.0,74.0,35.0,8.09
1651209005.0,77.6,34.0,8.19
1651209010.0,76.8,34.0,8.04
1651209015.0,77.4,36.0,8.18
1651209020.0,75.7,34.0,8.11
1651209025.0,73.2,35.0,8.16
1651209030.0,76.1,36.0,8.05
1651209035.0,75.5,35.0,8.29
1651209040.0,77.2,36.0,8.16
1651209045.0,73.6,34.0,8.48
1651209050.0,79.3,34.0,8.49
1651209055.0,76.7,34.0,8.17
1651209060.0,79.3,36.0,8.19
1651209065.0,74.5,34.0,8.49
1651209070.0,79.2,36.0,8.1
1651209075.0,74.6,35.0,8.02
1651209080.0,75.6,34.0,8.4
1651209085.0,74.6,35.0,8.12
1651209090.0,78.3,35.0,8.38
1651209095.0,73.1,35.0,8.45
1651209100.0,78.2,34.0,8.37
1651209105.0,78.4,36.0,8.42
1651209110.0,79.0,35.0,8.34
1651209115.0,75.1,36.0,8.07
1651209120.0,79.0,36.0,8.49
1651209125.0,74.4,35.0,8.19
1651209130.0,76.0,34.0,8.15
1651209135.0,74.7,34.0,8.12
1651209140.0,73.5,36.0,8.11
1651209145.0,76.3,36.0,8.5
1651209150.0,79.3,34.0,8.34
1651209155.0,79.4,35.0,8.0
1651209160.0,79.1,34.0,8.03
1651209165.0,73.2,36.0,8.46
1651209170.0,75.6,34.0,8.39
1651209175.0,77.3,34.0,8.14
1651209180.0,78.0,35.0,8.15
1651209185.0,78.2,34.0,8.28
1651209190.0,78.1,36.0,8.03
1651209195.0,76.7,36.0,8.4
1651209200.0,73.4,36.0,8.24
1651209205.0,75.1,36.0,8.5
1651209210.0,79.4,36.0,8.06
1651209215.0,80.0,35.0,8.22
1651209220.0,75.0,35.0,8.4
1651209225.0,80.0,34.0,8.34
1651209230.0,75.2,36.0,8.31
1651209235.0,77.0,36.0,8.45
1651209240.0,77.7,35.0,8.03
1651209245.0,75.7,34.0,8.21
1651209250.0,79.7,36.0,8.32
1651209255.0,76.5,34.0,8.48
1651209260.0,78.3,35.0,8.43
1651209265.0,75.0,36.0,8.27
1651209270.0,75.3,36.0,8.05
1651209275.0,73.7,35.0,8.21
1651209280.0,78.6,36.0,8.21
1651209285.0,78.6,34.0,8.38
1651209290.0,77.6,36.0,8.49
1651209295.0,80.0,35.0,8.07
1651209300.0,77.4,36.0,8.37
1651209305.0,78.3,36.0,8.21
1651209310.0,74.2,34.0,8.43
1651209315.0,77.8,34.0,8.47
1651209320.0,74.9,36.0,8.44
1651209325.0,79.3,36.0,8.05
1651209330.0,73.0,36.0,8.5
1651209335.0,73.1,34.0,8.49
1651209340.0,75.4,34.0,8.34
1651209345.0,76.2,35.0,8.12
1651209350.0,77.1,34.0,8.0
1651209355.0,73.9,34.0,8.33
1651209360.0,78.1,35.0,8.44
1651209365.0,75.7,36.0,8.28
1651209370.0,74.7,36.0,8.22
1651209375.0,74.9,36.0,8.06
1651209380.0,79.7,34.0,8.13
1651209385.0,73.8,35.0,8.12
1651209390.0,80.0,36.0,8.36
1651209395.0,76.8,34.0,8.33
1651209400.0,76.4,35.0,8.21
1651209405.0,74.0,35.0,8.42
1651209410.0,79.5,34.0,8.11
1651209415.0,78.6,36.0,8.4
1651209420.0,75.6,35.0,8.22
1651209425.0,75.3,34.0,8.49
1651209430.0,78.7,35.0,8.17
1651209435.0,77.8,34.0,8.27
1651209440.0,79.8,35.0,8.29
1651209445.0,78.8,36.0,8.5
1651209450.0,76.2,35.0,8.17
1651209455.0,80.0,34.0,8.22
1651209460.0,78.8,34.0,8.44
1651209465.0,73.1,35.0,8.03
1651209470.0,77.0,34.0,8.11
1651209475.0,77.2,36.0,8.49
1651209480.0,73.3,35.0,8.42
1651209485.0,73.6,36.0,8.21
1651209490.0,78.7,36.0,8.04
1651209495.0,79.0,35.0,8.12
1651209500.0,76.6,34.0,8.0
1651209505.0,76.8,36.0,8.41
1651209510.0,74.7,34.0,8.05
1651209515.0,77.9,36.0,8.45
1651209520.0,75.3,36.0,8.33
1651209525.0,73.6,36.0,8.26
1651209530.0,73.8,34.0,8.26
1651209535.0,78.3,34.0,8.22
1651209540.0,75.0,36.0,8.02
1651209545.0,76.7,36.0,8.22
1651209550.0,75.5,34.0,8.17
1651209555.0,74.4,34.0,8.38
1651209560.0,75.9,34.0,8.35
1651209565.0,78.6,35.0,8.06
1651209570.0,77.6,36.0,8.32
1651209575.0,79.8,36.0,8.1
1651209580.0,74.8,36.0,8.16
1651209585.0,75.7,36.0,8.26
1651209590.0,75.2,34.0,8.0
1651209595.0,78.5,34.0,8.06
