day,time,temp,salinity,pH
4/18/2022,12-00-00,77,29,8.33
4/18/2022,12-00-05,73,30,8.36
4/18/2022,12-00-10,75,33,8.28
4/18/2022,12-00-15 AM,73,30,8.13
4/18/2022,12-00-20 AM,78,30,8.02
4/18/2022,12-00-25 AM,80,34,8.23
4/18/2022,12-00-30 AM,77,29,8.09
4/18/2022,12-00-35 AM,77,30,8.24
4/18/2022,12-00-40 AM,73,30,8.02
4/18/2022,12-00-45 AM,74,30,8.11
4/18/2022,12-00-50 AM,74,33,8.37
4/18/2022,12-00-55 AM,77,29,8.3
4/18/2022,12-01-00 AM,75,33,8.38
4/18/2022,12-01-05 AM,76,34,8.19
4/18/2022,12-01-10 AM,77,33,8.07
4/18/2022,12-01-15 AM,73,33,8.03
4/18/2022,12-01-20 AM,78,35,8.27
4/18/2022,12-01-25 AM,78,35,8.21
4/18/2022,12-01-30 AM,76,34,8.13
4/18/2022,12-01-35 AM,77,35,8.12
4/18/2022,12-01-40 AM,78,34,8.27
4/18/2022,12-01-45 AM,76,30,8.08
4/18/2022,12-01-50 AM,74,35,8.32
4/18/2022,12-01-55 AM,79,31,8.15
4/18/2022,12-02-00 AM,76,34,8.38
4/18/2022,12-02-05 AM,80,33,8.25
4/18/2022,12-02-10 AM,78,35,8.17
4/18/2022,12-02-15 AM,77,34,8.26
4/18/2022,12-02-20 AM,75,31,8.16
4/18/2022,12-02-25 AM,76,34,8.2
4/18/2022,12-02-30 AM,74,35,8
4/18/2022,12-02-35 AM,80,32,8.24
4/18/2022,12-02-40 AM,74,30,8.17
4/18/2022,12-02-45 AM,79,29,8.4
4/18/2022,12-02-50 AM,80,29,8.11
4/18/2022,12-02-55 AM,76,29,8.37
4/18/2022,12-03-00 AM,74,32,8.07
4/18/2022,12-03-05 AM,75,32,8.28
4/18/2022,12-03-10 AM,74,29,8.17
4/18/2022,12-03-15 AM,80,29,8.14
4/18/2022,12-03-20 AM,74,32,8
4/18/2022,12-03-25 AM,78,31,8.06
4/18/2022,12-03-30 AM,80,30,8.03
4/18/2022,12-03-35 AM,75,33,8.07
4/18/2022,12-03-40 AM,79,32,8.34
4/18/2022,12-03-45 AM,80,29,8.07
4/18/2022,12-03-50 AM,80,29,8.01
4/18/2022,12-03-55 AM,78,34,8.23
